Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
Dunia Polymer Extrusion Sdn Bhd,98193-W,1997.0,Lee Chee Teck,Manager,Lee Chee Teck,Manager,"PT 14259, No. 4, Jln. Perusahaan 25, Kaw. 11, Jalan Banting, Pandamaran, Port Klang",42000.0,,Selangor,Malaysia,603-3166 3610,603-3166 4610,keavelow@okaya.com.my,www.duniapolymer.com.my,"Injection Moulding, Profile Extrusion","Extrusion and Injection for Automotive, Coaches, Construction, Coldroom, Furniture , Furniture, Industrial and Construction","Australia, China, Thailand, Indonesia, Singapore"
Dura-Mine Sdn Bhd,417657-K,1997.0,Kadhim Salem Khalaf,Chief Executive Officer,Zainab Abdullah,Manager,"Unit 1058 10th Floor Block A-2, Pusat Dagang Setia Jaya PJS 8/9 Sunway, Petaling Jaya",46150.0,,Selangor,Malaysia,603-7875 2888,603-7876 9088,sales@oleofine.com.my,www.dura-mine.com,"Pipe Extrusion, Conduits Extrusion","HDPE Subduct, Conduit, Microduct and Accessories for Telecommunication Application HDPE and PVC Pipes for Utility Application, Optical Fibre Cable, Industrial and Construction, Telecommunication","Singapore, Thailand, Indonesia, Bangladesh, Sri Lanka, India, Jordan, Iraq"
DSP Industry Sdn Bhd,616945-H,2003.0,Shienly,General Manager,Shienly,General Manager,"2A, Jalan Anggerik Mokara 31/57, Kota Kemuning",40460.0,Shah Alam,Selangor,Malaysia,603-5124 7919 / 6012-4215 533,603-5124 7920,philip.heng@omya.com,dspindustry.com/,,Service,"Vietnam, Singapore, Thailand"
DSP (M) Sdn Bhd,145007H,1985.0,Tan Yow Wah,Chief Executive Officer,Tan Yow Wah,Chief Executive Officer,"Lot 17, Jalan sultan Mohamed 3, Kawasan Perindustian Bandar Sultan Sulaiman, Port Klang",42000.0,,Selangor,Malaysia,603-3176 3232,603-3176 5223,wenguchim@gmail.com,www.dsp.com.my,"Sheet Extrusion , CNC Machining, Plastic Welding","Manufacturer of a Wide Range of High Performance Engineered Polyethylene Sheets, Manlapene HDPE & PP Sheet is co-extruded Thermoplastic Sheet with Multi-Colour Layers and Thickness. Application of Manlapene HDPE Sheet includes: Signage, Children Playground Equipment, Sound Barriers, Building & Construction Materials Components, Furniture, Toilet Partition, Water Tank, Engineering Bearing and Gear and Bins. Other Product Range Includes: Anti Slip Sheets, Ice Skating Sheets, Sound Proofing Panels, Construction Formworks Panels. DSP Provides Wide Variable Thickness and Colours Based on Clients' Requirement. Our Standard Size is 1220mm X 2440 mm and our Thickness Ranges from 2mm to 50mm, Children, Furniture, Recreational","South East Asia, Asia, Europe, Oceania, Saudi Arabia"
Dragonpak Industries (M) Sdn Bhd,332011-W,1995.0,Jim Ong,Managing Director,Alan Loh,General Manager,"PLO 212, Jalan Besar, Kawasan Perindustrian Pasir Gudang, Pasir Gudang",81700.0,,Johor,Malaysia,607-255 7631,607-255 7913,opc2u@yahoo.com,www.dragonpak.com,"Film Blowing/Film Extrusion, Injection Moulding","Shopping Bags, Merchandise Bags, Garbage Bags, Produce Bags on Roll, Degradable and Non-degradable Bags, PP Microwaveable Food Containers, Compostable Bags, Films and Bags","France, Italy, Germany, Holland, Belgium, Cyprus, Maldives, Australia, New Zealand, Indonesia, Singapore, Canada"
Dow Chemical (Malaysia) Sdn Bhd,209598 K,1967.0,Andrew Liveris,"President, Chairman & CEO",Yeoh Lian Kuan,Senior Account Manager,"Level 6, CP Tower, Jalan 16/11, Pusat Dagang Section 16",46350.0,Petaling Jaya,Selangor,Malaysia,603-7965 5208/5218,603-7958 3377,noormtp@yahoo.com,www.dow.com,,,
Domicplus Sdn Bhd,1027959-H,2012.0,Lim Kuo Jye,Director,Lim Ah Huat,General Manager,"18, Lorong IKS Juru 3, Taman Perindustrian Ringan Juru, MK 13",14000.0,Bukit Mertajam,Pulau Pinang,Malaysia,604-588 3270,604-539 3270,optaplus@yahoo.com,,Recycling,"Major in Supply Recycling Materials in Resin form - PE, PP, PS, PVC, AS, HIPS, ABS. Sub Product - Plastic Household Product",
DNP Materials Sdn Bhd,750279-V,2006.0,Tee Huei Ming,Managing Director,Haini binti Ali Baba,Operation Executive,"Block C-5-03, Capital 3 Oasis Square Ara Damansara, No. 2, Jalan PJU 1A/7A, Petaling Jaya",47301.0,,Selangor,Malaysia,603-7832 1611/7832 6212,603-7832 6313,admin@optimuspackaging.com.my,www.dnpmaterials.com/,,"Distributor, Manufacturing",
Diyou Fibre (M) Sdn Bhd,465406-D,1998.0,Lim Ka Sing,Managing Director,Lim Ka Sing,Managing Director,"Lot 85 Jalan Permata 2/3, Arab-Malaysian Industrial Park, Nilai",71800.0,,Negeri Sembilan,Malaysia,606-799 3121,606-799 8833,onde_snp@onde-lme.com,www.diyoufibre.com,Recycling,"Regenerated Polyester Staple Fibre for Automotive Industry, Filtration Industry, Textile, Apparel and Bags Recycled and Other Non-Woven Application, Pet Strapping Belt, Textile, Apparel and Bags, Transportation","Indonesia, India, Turkey, Japan, United Kingdom, United States, Germany, Poland, Tallinn, China, Australia, Korea, Taiwan, Pakistan, New Zealand, Argentina"
Dindings Engraving Sdn Bhd,119042-X,1973.0,Chong Choon Chin,Managing Director,Collin Chong,General Manager,"43, Persiaran Rishah 7, Kawasan Perindustrian Silibin",30100.0,Ipoh,Perak,Malaysia,605-5266505,605-5266597,info@osakaplastics.com,www.dindings.com.my,,"Mould Makers, Others",
DIC Compounds (M) Sdn Bhd,171369 - U,1988.0,Hideki Uchimi,Managing Director,SK Lee,General Manager,"Plot 481, Lorong Perusahaan Baru 2, Prai Industrial Estate",13600.0,Prai,Pulau Pinang,Malaysia,604-380 3200,604-390 0124,chinchoon.fah@pac.com,www.dcm-dic.com.my,,"Manufacturing of Compounds, Masterbatches, Dry Colour & Engineering Plastic","ASEAN Nations, East Asia, West Asia"
DIC (Malaysia) Sdn Bhd,23632-A,1974.0,Ng Chew Ying,Managing Director,Larry Ng Cheong Lip,Business Development Director,"PT 501 & 502, Persiaran Sabak Bernam, Seksyen 26, Kawasan HICOM",40400.0,Shah Alam,Selangor,Malaysia,603-5191 0033,"603-5191 7199, 5191 7233",contact@packagingmaster.com,,,"Chemicals, Compounds, Ink, Pigments, Resins",
Dialog Eseco Sdn Bhd,202201019295 (1464992-V),2022.0,Dr S. Sri Umeswara,Executive Director,Sivakumar,Operation Manager,"No. 55A, Jalan TIAJ 2/1, Taman Industri Alam Jaya, Bandar Puncak Alam",42300.0,,Selangor,Malaysia,,,enquiry_cs1@packerman.com.my,dialogeseco.com/,Extrusion Pelletising (Recycling),"Rigid & Flakes , Recycler",
Deplas Products Sdn Bhd,242705-A,1982.0,WC Goh,Managing Director,WC Goh,Managing Director,"3 Persiaran Perindustrian Pengkalan Tujuh, Lahat, Ipoh",31500.0,,Perak,Malaysia,605-322 5959,605-322 5905,epslmkod@yahoo.com.my,,"Blow Moulding, Injection Moulding","Medicine/Vitamin Bottles, Spatula Spoons, Medicine Spoons, Pill Compartment Containers , Containers and Bottles, Medical",
DD Plastic Sdn Bhd,325827-P,1994.0,YBhg Dato' Dr Sharifuddin Musa,Managing Director,Nor Faizah Aripshah,General Manager,"Lot PT 10014, Kawasan Perindustrian Jakar 3",24000.0,Kemaman,Terengganu,Malaysia,609-868 1103,609-868 1101,,www.fmplastic.com.my,Film Blowing/Film Extrusion,"Form Fill Seal Bag (FFS), Films and Bags",
DCT Plastic Sdn Bhd,666228-T,2004.0,Yang Pai Fei,Director,,,"11, Jalan TJ 32/3, Taman Desa Kemuning",40460.0,Shah Alam,Selangor,Malaysia,603-5124 8661,603-5124 8662,enquiry@panconcept.com.my,,Extrusion Pelletising (Recycling),Recycled Resin,China
Davis Standard (M) Sdn Bhd,1011285-T,2012.0,Jim Murphy,President & Chief Executive Officer,Sekaran Murugaiah,VP Business Development AP,"Level 15.01, 1 First Avenue 2A, Dataran Bandar Utama",47800.0,Petaling Jaya,Selangor,Malaysia,,,sales@pannorth.com.my,www.davis-standard.com,,Equipment Supplier,
DCM Material Sciences Sdn Bhd,413124-K,2007.0,Lee Deek Sern,Chief Executive Officer,SW Chan,General Manager,"Lot 22 & 22A, Jalan Mega 2/1, Kawasan Perindustrian Mega 2, Semenyih",43500.0,,Selangor,Malaysia,"6010-203 3831, 6010-203 3813",6015-9618 5700,irene@panagawa.com,www.dcm-asia.com,Compounds,"Thermoplastic Elastomer TPE-S ""ERAPRENE"", Distributor - PA6, PA66, PA46, PBT, TPU, TPV, TPE-E, PSU, PES, COC, PC, POM, PMMA, LLDPE, PP, EVA, ABS, AS, PS","Middle East, China, Vietnam, Indonesia, Singapore, Pakistan"
Danapac Industries (M) Sdn Bhd,391323-V,2000.0,Jansen Lim Soon Hin,Group Chairman,Wilson Lye,Senior Sales Manager,"Plot 40, Jalan Perindustrian Bukit Minyak, Kawasan Perindustrian Bukit Minyak",14100.0,Simpang Ampat,Pulau Pinang,Malaysia,604-508 6388,604-508 7388,enquiry@panwrite.com,www.danapac.com.my,"Film Extrusion, Profile Extrusion, Sheet Extrusion","Film and Sheet, Thermoforming Sheet","Thailand, Singapore, Indonesia, Philippines, China, Vietnam"
Daifuji Plastic Industries Sdn Bhd,273026K,,Lau Cheng Kee,Managing Director,Lau Cheng Kee,Managing Director,"9 & 11, Sungai Tiram Dua, Bayan Lepas",11900.0,,Pulau Pinang,Malaysia,604-644 4867,604-644 4863,3pj_operations@jasa8.com,,Blown Film,"PE Bags and PE Printed Bags , Packaging - Film and Bag","Singapore, Indonesia, Australia"
Daichong Engraving Sdn Bhd,439256 V,1997.0,Wu Kar Choon,Company Director,Leow Yoke Chong,Company Director,"13,15,17,19, Persiaran Jelapang Maju 8, Taman Perindustrian Ringan Jelapang Maju",30020.0,Ipoh,Perak,Malaysia,605-526 2829,605-527 1380,hr-admin@pdkmsb.com,,,Services,
Dai-Ichi Jitsugyo (M) Sdn Bhd,148725-V,1989.0,N. Nagasawa,,Chang Wei Keong,Sales Manager,"Box No 80, 22nd Floor, UBN Tower, No. 10, Jalan P Ramlee",50250.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-2070 6913,603-2070 6912,pjsiah@pensonic.com,www.daiichijitsugyo.com.my,,"Auxiliary Equipment, Machinery Supplier, Equipment Supplier i4.0 Solution Providers",
D'nonce Technology Bhd,503292-K,2000.0,Kuah Choon Ching,Director,Chia Hooi Keng,Financial Controller,"51-14-B & C, Menara BHL, Jalan Sultan Ahmad Shah",10050.0,,Pulau Pinang,Malaysia,604-2281 198,604-2283 016,yawmeng@hotmail.com,www.dnoncetech.com,,Supply of Packaging,"Singapore, Thailand, China, Vietnam"
Cycleworld Manufacturing Sdn Bhd,201101020325 (948459-P),2011.0,Eng Hun Cheong,Managing Director,Eng Hun Cheong,Managing Director,"PMT 1816, Jalan Hutan Petai, Machang Bubok",14020.0,Bukit Mertajam,Pulau Pinang,Malaysia,604-539 3119,604-539 1394,perusahaanbeta@gmail.com,,Film Blowing/Film Extrusion,"HDPE Bags, Vest Bags, Garbage Bags, Films and Bags",
CY Enterprise Sdn Bhd,664667-P,2004.0,Ng Ching Yun,Director,Ng Ching Yun,Director,"183, Jalan Murni 10, Taman Perindustrian Murni, Senai",81400.0,,Johor,Malaysia,607-598 8995,607-598 3995,info@pch.my,chingyun.com.my,Recycling,"Recycled Raw Materials - ABS, PC, PET, PP, PS","China, Hong Kong, Vietnam, Singapore"
CSH Recycle Sdn Bhd,747206-D,2006.0,Lim Ghim Hoo,Director,Lim Ghim Hoo,Director,"Lot 941, Lorong Makmur ½ Kawasan Perindustrian Taman Makmur",9600.0,Lunas,Kedah,Malaysia,604-484 3131,604-484 8131,pchgsb@gmail.com,,"Extrusion Pelletising (Recycling) , Checking, Sorting, Cutting, Crushing, Packing",Recycled Resin,China
Cryovac (M) Sdn Bhd,,1993.0,,,Maniarasu Nalliah,Plant Manager,"Lot 115, Gebeng industrial Estate, P.O.Box 30, Kuantan",26080.0,,Pahang,Malaysia,609-583 6625,609-583 6643/42,wlchen@jayaplastik.com,,Film Blowing/Film Extrusion,"Polyolefin Shrinkable Films, Films and Bags","Asia Pacific, Australia, New Zealand"
Creative Protective Sdn Bhd,1087851-X,2014.0,Fazrul Hassan Bin Seliman,Managing Director,Mior Ahmad Nazrol Bin Mior Ariff,,"PT 149672 & 149673, Lebuh Perusahaan Klebang 2, Kawasan Pertanian IGB",31200.0,Chemor,Perak,Malaysia,605-291 9171,605-291 8171,info@petfar.com,www.cpsb.biz,Extrusion,"Plastic Cushioning Packaging Materials, Films and Bags, Foam",Singapore
CPI (KL) Sdn Bhd,275383-M,1993.0,Tay Chee Keong,Managing Director,Tay Chee Keong,Managing Director,"6 & 8, Jalan BS 7/16, Kawasan Perindustrian Bukit Sedang",43300.0,Seri Kembangan,Selangor,Malaysia,603-8943 9141,603-8943 9806,jane@idemitsu-ps.com.my,www.cpikl.com.my,Injection Moulding,"OEM for Imaging, Consumer Electronics and Industrial Products , Electrical and Electronics - Products, Parts and Accessories","USA, Japan, China"
CP Powders Sdn Bhd,,2007.0,Chee Lin Loong,Managing Director,Vivian Tang,Head of Sales,"30, Lintang Sungai Keramat 2A/KU06, Taman Industri Klang Utama, Klang",42100.0,,Selangor,Malaysia,603-3291 8226,603-3291 8227,petronaschemicals@petronas.com.my,www.cppowders.com,"Pulverising, Compounding, Rotational Moulding","PE/PP/Engineering Plastic Raw Materials in Powder Form , Industrial and Construction Products , Industrial and Construction","Australia, New Zealand, China, Philippines, Thailand, Indonesia, India, Middle East, Europe"
Corvet Technologies Sdn Bhd,578542-W,2002.0,Yau Kok Leong,Managing Director,Yau Kok Leong,Managing Director,"L3-13, Wisma BU 8, Lebuh Bandar Utama, Bandar Utama",47800.0,Petaling Jaya,Selangor,Malaysia,603-6414 6898,603-7803 8788,chengleng.ooi@my.wilmar-intl.com,,,"Machinery Supplier, Equipment Supplier",Singapore
Corlite Packaging Industries Sdn Bhd,470863V,1998.0,Toh Pe Kun,Managing Director,Toh Pe Kun,Managing Director,"Lot 6, Jalan Wawasan 1, Kawasan Perindustrian Sg. Kapar Indah, Batu 6, Jalan Kapar, Klang",42200.0,,Selangor,Malaysia,603-3290 4399/6411,603-3290 4397,pipeco@pipeco.com.my,www.corlite.net,"Sheet Extrusion , Ultrasonic Welding","Corrugated Plastic Sheets & Boxes, PP Bubble Sheets and Boxes, Solid PP Sheets, Solid Acrylic, HIPS, PC Sheets , Containers and Bottles","Singapore, Indonesia, Australia"
Control Union (Malaysia) Sdn Bhd,163226-D,1987.0,Abirami Srimani,Director,Supun Sachithra Nigamuni,General Manager,"B-3-1, Block B, Pusat Perniagaan Prima Klang, Jalan Kota/KS 1",41000.0,Klang,Selangor,Malaysia,603-3377 1600,603-3377 1800,khpual@gmail.com,www.controlunion.com,,Services,
Convemed Sdn Bhd,1382675 -W,2020.0,Jason Ng,Director,,,"CT-09-01, Corporate Tower Subang Square, Jalan SS15/4G",47500.0,Subang Jaya,Selangor,Malaysia,603-8605 4677/6016-322 6452,,eddie@plasform.com.my,www.convemed.com,Injection Moulding,"Plastic Syringe , Medical and Pharmaceutical - Products, Parts and Accessories",
Contipak Noron Sdn Bhd,T 18524-U,1974.0,Lee Yu-Jin,Executive Director,Hong Kam Liang,Sales & Marketing Manager,"Lot 2 Jalan Usahawan 5, PKNS Setapak Industrial Area Off Jalan Genting Kelang, Kuala Lumpur",53300.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-4023 8218,603-4025 1219,plasmacolorkl@yahoo.com,www.cfm.com.my,"Lamination, Printing, Hot-Melt Coating, Slitting","Multilayer Laminated Film for - Food Packaging, Beverage and Snacks, Laminated Aluminium Foil for - Food Packaging and Pharmaceutical Products, Laminated Paper Base for - Toiletries Products and many others, Films and Bags",Thailand
Connell Bros Company (Malaysia) Sdn Bhd,178024-H,1970.0,Andy Burlingham,General Manager,Poh Chee Keong,Business Manager,"6, Jalan Kontraktor U1/14, Hicom Glenmarie Industrial Park",40150.0,Shah Alam,Selangor,Malaysia,603-5568 1800,603-5567 9170,plasma.plastic@gmail.com,www.connellbros.com,,"Additives, Chemicals, Compounds, Ink, Lubricants, Masterbatches, Pigments, Resin, Solvents, Stabiliser",
Concrete Joining Systems (M) Sdn Bhd,593994-W,2002.0,Paul McCalman,Director,Paul McCalman,Director,"51, Jalan BRP 8/2, Bukit Rahman Putra Industrial Park, Sungai Buloh",47000.0,,Selangor,Malaysia,603-6148 8010; 603-2711 0117,603-6148 8020,hr@plassein.com.my,www.cj-systems.com,Profile Extrusion,"Extrude Flexible - PVC Profiles for use as Waterstops in Expansion and Construction Joints for the Building and Construction Industry, Industrial and Construction, OEM Manufacturing","Australia, New Zealand, Indonesia, Singapore, Philippines, Thailand, Vietnam, Cambodia, Myanmar, Hong Kong, China, Dubai, Qatar, Iran"
Commercial Plastic Industries Sdn Bhd,169276-X,1988.0,Simon Lim Ka Kian,Managing Director,Deric Choy,General Sales Manager,"Lot 11 Jalan 7, Kawasan Perusahaan Cheras Jaya, Jalan Balakong",43200.0,,Selangor,Malaysia,603-9076 8851/52,603-9076 6301/302/303,plastfighter@gmail.com,www.cpi.my,Compounding,"COPO-LINK Low Voltage Crosslinkable Polyethylene Compound (I.V XLPE), Copo-lene for LDPE, LLDPE, MDPE, HDPE Black Jacketing Compound","China, Mauritius, Philippines, Vietnam, Thailand, Singapore"
Comexi Group Industries S.A.U,,1954.0,,,Lee Chi Kai,Area Sales Manager,"EL Pollgon Industrial de Girona, Avinguda del Mas Pins, 135, Riudellots de la Selva, Girona",17457.0,,,Spain,6012-9124 294,,Sales@tecnic.com.my,comexi.com/,,Machinery Supplier,
Colour Image Plastic Compound Sdn Bhd,527104-T,2000.0,Ong Thiam Chye,Managing Director,Ong Chun Cheen,Executive Director,"Lot 59218, Jalan Balakong Jaya, Taman Perindustrian Balakong Jaya, Seri Kembangan",43300.0,,Selangor,Malaysia,603-8938 2790,603-8940 3088,sales@plasticycle.com.my,www.cipcresin.com,"Compounds, Extrusion Pelletising","Virgin and Off Grade Materials, Recycled Resins","Hong Kong, China"
Color Pigment (M) Sdn Bhd,181798-W,1989.0,Mr Bee Chee Sem,Marketing Director,Victor Sam,,"PT360, Jalan TPP 5/1, Taman Perindustrian Puchong, Seksyen 5",47160.0,Puchong,Selangor,Malaysia,603-8061 5629 (Hunting Line),603-8061 5482,info@stc.hlhightech.com,www.colorpigment.com,,"Compounds, Masterbatches, Pigments","Vietnam, United Kingdom"
Combi-Pack Sdn Bhd,760724-T,2007.0,CY Chow,CEO,Darren Chow,Business Development Executive,"277, Jalan Haruan 1, Oakland Industrial Park, Seremban 2, Seremban",70300.0,,Negeri Sembilan,Malaysia,606-761 1268,606-761 1298/761 1318,info@plastik-v.com,www.combi-pack.com.my,"Injection Moulding , IML and Paper Sleeving","Plastic Goods for Food Packaging , Containers and Bottles","Australia, Singapore, New Zealand, Indonesia, Thailand"
CMF Plastics Industry Sdn Bhd,,2000.0,Chow Meng Fatt,Managing Director,Chow Meng Fatt,Managing Director,"Lot No. L2, Jalan Perindustrian Bukit Indah 1, Sungai Buloh",47000.0,,Selangor,Malaysia,603-6156 2218,603-6156 8216,web@plus-solar.com.my,www.cmfplastics.com.my,"Injection Moulding, Fabrication of Mould, Spray-painting, Silkscreen-painting, Pad-printing, Plastic Chrome Plating, Hot Stamping, Assembly","Household Sector, Audio Parts, Home Appliances, Electrical Element, Video Sector and Car Audio, Bathroom/Toilet, Electrical and Electronics","Europe, New Zealand, USA, China, Thailand"
CM Machinery Sdn Bhd,489260 H,1989.0,Chin Foo Kong,Director,Christy Chin,Sales Manager,"2A, Jalan BP 4/9, Bandar Bukit Puchong",47120.0,Puchong,Selangor,Malaysia,603-8068 2800,603-8068 1800,sales@pmipackaging.com,www.cmmachinery.com.my,,"Machinery Supplier, Services i4.0 Solution Providers","Singapore, Indonesia, Thailand, Vietnam, India, Myanmar, Sri Lanka, Bangladesh"
Cloeren Incorporated,,1980.0,Alicia Cloeren,Director,Alicia Cloeren,Director,"401, 16th Street, Orange",77630.0,Orange,Texas,USA,+1-409 886 5820,+1-409 886 5570,brandon@polyedge.com.my,www.cloeren.com,,"Machinery Supplier, Equipment Supplier",Worldwide
CLS Engineering Sdn Bhd,1132522D,2015.0,Chen Choon Onn,Director,Sin Jen Ni,Director,"22, Jalan Temenggong 10, Taman Ungku Tun Aminah, Skudia",81300.0,Johor Bahru,Johor,Malaysia,6014-773 3077,607-550 0205,enquiry@polyfoam.com.my,,,,
CL Materials Trading Sdn Bhd,867721-A,2009.0,Chang Eng Fong,Director,Lim Hock Soon,Director,"97-3-1, Prima Tanjung Business Centre, Jalan Fettes, Bandar Tanjung Tokong",11200.0,,Pulau Pinang,Malaysia,604-890 1203,604-890 1195,polymill@tm.net.my,www.clmats.com,,Resins Distributor,
CK Packaging & Plastic Industries Sdn Bhd,865258-M,2009.0,Yap Choon Kiat,Managing Director,Ang Soon Eng/ Irene Wong,General Manager (Operation)/ General Manager (Marketing),"9 & 11, Jalan Gemilang 8/3, Taman Banang Jaya",83000.0,Batu Pahat,Johor,Malaysia,607-428 8251,607-428 7252,polymaxx@gmail.com,www.ckgroup.asia,"Extrusion, Printing, Bag Making",Films and Bags,"Singapore, Indonesia"
CKY Recycle Plastic Sdn Bhd,1105074-U,2014.0,Steven Chew,Managing Director,Joseph Loh,Business Envelopment Manager,"Lot 56, Jalan CH Light Industries 3, Pajam-Mantin, Nilai",71700.0,,Negeri Sembilan,Malaysia,606-799 3759,,pymsb@tm.net.my,www.ckyrecycle.com.my/,Extrusion Pelletising (Recycling),"Recycled HDPE & PP Resin, Recycled Resin","Indonesia, China, British Indian Ocean Territory, European Union"
CJ Polymers Sdn Bhd,539468 V,2001.0,Kerk Han Meng,Managing Director,Kerk Han Meng,Managing Director,"B-6-16, VOX Southgate, Jalan Dua, Off Jalan Chan Sow Lin",55200.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-9221 3000,603-9221 3006,info@polyflexpackaging.com,www.cjpolymers.com,,"Trading & Distribution of Plastic Resin, Fertilizer and Petrochemical related products","Bangladesh, Pakistan, India, South Africa, China, Philippines, Indonesia, Vietnam, Myanmar"
